Red tiles locations:
(*) Tile number 1 | x = 98302 | y = 50003
(*) Tile number 464 | x = 94036 | y = 31222
(*) Tile number 465 | x = 93764 | y = 31222
(*) Tile number 466 | x = 93764 | y = 32377
(*) Tile number 467 | x = 94126 | y = 32377
(*) Tile number 468 | x = 94126 | y = 33274
(*) Tile number 469 | x = 95169 | y = 33274
(*) Tile number 470 | x = 95169 | y = 34393
(*) Tile number 471 | x = 95668 | y = 34393
(*) Tile number 472 | x = 95668 | y = 35730
(*) Tile number 473 | x = 95490 | y = 35730
(*) Tile number 474 | x = 95490 | y = 36882
(*) Tile number 475 | x = 95855 | y = 36882
(*) Tile number 476 | x = 95855 | y = 38072
(*) Tile number 477 | x = 96081 | y = 38072
(*) Tile number 478 | x = 96081 | y = 39252
(*) Tile number 479 | x = 96327 | y = 39252
(*) Tile number 480 | x = 96327 | y = 40429
(*) Tile number 481 | x = 96585 | y = 40429
(*) Tile number 482 | x = 96585 | y = 41595
(*) Tile number 483 | x = 96912 | y = 41595
(*) Tile number 484 | x = 96912 | y = 42771
(*) Tile number 485 | x = 97206 | y = 42771
(*) Tile number 486 | x = 97206 | y = 43958
(*) Tile number 487 | x = 97461 | y = 43958
(*) Tile number 488 | x = 97461 | y = 45166
(*) Tile number 489 | x = 97568 | y = 45166
(*) Tile number 490 | x = 97568 | y = 46336
(*) Tile number 491 | x = 98146 | y = 46336
(*) Tile number 492 | x = 98146 | y = 47589
(*) Tile number 493 | x = 97604 | y = 47589
(*) Tile number 494 | x = 97604 | y = 48791
(*) Tile number 495 | x = 97828 | y = 48791
(*) Tile number 496 | x = 97828 | y = 50003

The imaginary boundary of the point cloud is made from:
(*) Point (1646, 51221)
(*) Point (1674, 50003)
(*) Point (1818, 46337)
(*) Point (2568, 39132)
(*) Point (4265, 33197)
(*) Point (4640, 32194)
(*) Point (6596, 27761)
(*) Point (8300, 24396)
(*) Point (11722, 19560)
(*) Point (13398, 17557)
(*) Point (17844, 13244)
(*) Point (24608, 8332)
(*) Point (25475, 7886)
(*) Point (29068, 6086)
(*) Point (32154, 4703)
(*) Point (35695, 3408)
(*) Point (42793, 2141)
(*) Point (48789, 1768)
(*) Point (51217, 1726)
(*) Point (52451, 1726)
(*) Point (56116, 2001)
(*) Point (57327, 2192)
(*) Point (59735, 2640)
(*) Point (65595, 4383)
(*) Point (67900, 5195)
(*) Point (71361, 6459)
(*) Point (74511, 8368)
(*) Point (76572, 9687)
(*) Point (79604, 11759)
(*) Point (85740, 17714)
(*) Point (87488, 19436)
(*) Point (88962, 21393)
(*) Point (92925, 27581)
(*) Point (94036, 29770)
(*) Point (95668, 34393)
(*) Point (98146, 46336)
(*) Point (98302, 50003)
(*) Point (98302, 51224)
(*) Point (98186, 53636)
(*) Point (97321, 60896)
(*) Point (95871, 65536)
(*) Point (92855, 73409)
(*) Point (90340, 77609)
(*) Point (89661, 78603)
(*) Point (82367, 86713)
(*) Point (79306, 88852)
(*) Point (75211, 91706)
(*) Point (74547, 92126)
(*) Point (73378, 92726)
(*) Point (67677, 95294)
(*) Point (65553, 96011)
(*) Point (62088, 97050)
(*) Point (59587, 97561)
(*) Point (54813, 98058)
(*) Point (52414, 98174)
(*) Point (51217, 98174)
(*) Point (45102, 98126)
(*) Point (42659, 97893)
(*) Point (40268, 97336)
(*) Point (35522, 96133)
(*) Point (29845, 93855)
(*) Point (28751, 93309)
(*) Point (23376, 90390)
(*) Point (22311, 89775)
(*) Point (18517, 86667)
(*) Point (15821, 84173)
(*) Point (13206, 81581)
(*) Point (9682, 76567)
(*) Point (6507, 71330)
(*) Point (4109, 65682)
(*) Point (2382, 58531)
(*) Point (2034, 56105)
(*) Point (1646, 52448)

